benchmark_sequence,original_sequence,filename,scenario_kind,expected_valid_payloads,expected_false_payloads,actual_raw_detected_payloads,actual_accepted_payloads,actual_rejected_payloads,expected_position,actual_position,expected_items,actual_items,detection_result,domain_result,expected_domain_outcome,pipeline_error,scanner_processing_ms,detection_detail,domain_detail
102,251,251_multi_mixed.jpg,multi_mixed,ASI-YAMK3E|5,POSX0011,ASI-YAMK3E|5|POSX0011,ASI-YAMK3E|5,,,,ASI-YAMK3E|5,ASI-YAMK3E|5,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,MIXED_KEEP_VALID_REJECT_FALSE,,310,,
103,125,125_item.jpg,item,ASI-5AHEKC|20,,ASI-5AHEKC|20,ASI-5AHEKC|20,,,,ASI-5AHEKC|20,ASI-5AHEKC|20,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,281,,
104,28,028_position.jpg,position,ASP-A01-B05-P02-R,,ASP-A01-B05-P02-R,ASP-A01-B05-P02-R,,ASP-A01-B05-P02-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,453,,
105,126,126_item.jpg,item,ASI-K5JCVZ|2,,ASI-K5JCVZ|2,ASI-K5JCVZ|2,,,,ASI-K5JCVZ|2,ASI-K5JCVZ|2,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,260,,
106,281,281_multi_false.jpg,multi_false,,POSX0051|FAKE0052,POSX0051|FAKE0052,,,,,,,DETECTION_EXACT_MATCH,CORRECT_REJECTION,CORRECT_REJECTION,,343,,
107,29,029_position.jpg,position,ASP-A01-B05-P03-L,,ASP-A01-B05-P03-L,ASP-A01-B05-P03-L,,ASP-A01-B05-P03-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,360,,
108,127,127_item.jpg,item,ASI-YPRGY4|96,,ASI-YPRGY4|96,ASI-YPRGY4|96,,,,ASI-YPRGY4|96,ASI-YPRGY4|96,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,331,,
109,221,221_multi_true.jpg,multi_true,ASP-A04-B01-P01-L|ASI-H7ZS2Z|4,,ASP-A04-B01-P01-L|ASI-H7ZS2Z|4,ASI-H7ZS2Z|4,,ASP-A04-B01-P01-L,,ASI-H7ZS2Z|4,ASI-H7ZS2Z|4,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,285,,
110,128,128_item.jpg,item,ASI-KRLM4B|6,,ASI-KRLM4B|6,ASI-KRLM4B|6,,,,ASI-KRLM4B|6,ASI-KRLM4B|6,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,287,,
111,30,030_position.jpg,position,ASP-A01-B05-P03-R,,ASP-A01-B05-P03-R,ASP-A01-B05-P03-R,,ASP-A01-B05-P03-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,278,,
112,129,129_item.jpg,item,ASI-X4RTLG|24,,ASI-X4RTLG|24,ASI-X4RTLG|24,,,,ASI-X4RTLG|24,ASI-X4RTLG|24,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,427,,
113,252,252_multi_mixed.jpg,multi_mixed,ASP-A05-B02-P03-L,FAKE0012,ASP-A05-B02-P03-L|FAKE0012,,,ASP-A05-B02-P03-L,,,,DETECTION_EXACT_MATCH,FALSE_NEGATIVE,MIXED_KEEP_VALID_REJECT_FALSE,,377,,missing=1
114,31,031_position.jpg,position,ASP-A02-B01-P01-L,,ASP-A02-B01-P01-L,ASP-A02-B01-P01-L,,ASP-A02-B01-P01-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,278,,
115,130,130_item.jpg,item,ASI-C8QN7Y|15,,ASI-C8QN7Y|15,ASI-C8QN7Y|15,,,,ASI-C8QN7Y|15,ASI-C8QN7Y|15,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,377,,
116,282,282_multi_false.jpg,multi_false,,X0053|BAD0054,X0053|BAD0054,,,,,,,DETECTION_EXACT_MATCH,CORRECT_REJECTION,CORRECT_REJECTION,,356,,
117,131,131_item.jpg,item,ASI-QQBN3X|12,,ASI-QQBN3X|12,ASI-QQBN3X|12,,,,ASI-QQBN3X|12,ASI-QQBN3X|12,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,445,,
118,32,032_position.jpg,position,ASP-A02-B01-P01-R,,ASP-A02-B01-P01-R,ASP-A02-B01-P01-R,,ASP-A02-B01-P01-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,251,,
119,132,132_item.jpg,item,ASI-ETY3XB|4,,ASI-ETY3XB|4,ASI-ETY3XB|4,,,,ASI-ETY3XB|4,ASI-ETY3XB|4,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,320,,
120,222,222_multi_true.jpg,multi_true,ASP-A04-B01-P01-R|ASI-Q8BWQE|36,,ASP-A04-B01-P01-R|ASI-Q8BWQE|36,ASI-Q8BWQE|36,,ASP-A04-B01-P01-R,,ASI-Q8BWQE|36,ASI-Q8BWQE|36,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,646,,
121,133,133_item.jpg,item,ASI-SMSCG5|20,,ASI-SMSCG5|20,ASI-SMSCG5|20,,,,ASI-SMSCG5|20,ASI-SMSCG5|20,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,253,,
122,253,253_multi_mixed.jpg,multi_mixed,ASI-BFP247|18,X0013,ASI-BFP247|18|X0013,ASI-BFP247|18,,,,ASI-BFP247|18,ASI-BFP247|18,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,MIXED_KEEP_VALID_REJECT_FALSE,,347,,
123,33,033_position.jpg,position,ASP-A02-B01-P02-L,,ASP-A02-B01-P02-L,ASP-A02-B01-P02-L,,ASP-A02-B01-P02-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,285,,
124,134,134_item.jpg,item,ASI-W5H2NS|2,,ASI-W5H2NS|2,ASI-W5H2NS|2,,,,ASI-W5H2NS|2,ASI-W5H2NS|2,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,263,,
125,283,283_multi_false.jpg,multi_false,,POSX0055|FAKE0056,POSX0055|FAKE0056,,,,,,,DETECTION_EXACT_MATCH,CORRECT_REJECTION,CORRECT_REJECTION,,595,,
126,34,034_position.jpg,position,ASP-A02-B01-P02-R,,ASP-A02-B01-P02-R,ASP-A02-B01-P02-R,,ASP-A02-B01-P02-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,375,,
127,135,135_item.jpg,item,ASI-5ANZ5E|18,,ASI-5ANZ5E|18,ASI-5ANZ5E|18,,,,ASI-5ANZ5E|18,ASI-5ANZ5E|18,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,242,,
128,136,136_item.jpg,item,ASI-WHVV4W|24,,ASI-WHVV4W|24,ASI-WHVV4W|24,,,,ASI-WHVV4W|24,ASI-WHVV4W|24,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,235,,
129,223,223_multi_true.jpg,multi_true,ASP-A04-B01-P02-L|ASI-V4HJCC|15,,ASP-A04-B01-P02-L|ASI-V4HJCC|15,ASI-V4HJCC|15,,ASP-A04-B01-P02-L,,ASI-V4HJCC|15,ASI-V4HJCC|15,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,417,,
130,35,035_position.jpg,position,ASP-A02-B01-P03-L,,ASP-A02-B01-P03-L,ASP-A02-B01-P03-L,,ASP-A02-B01-P03-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,272,,
131,137,137_item.jpg,item,ASI-UJN42M|96,,ASI-UJN42M|96,ASI-UJN42M|96,,,,ASI-UJN42M|96,ASI-UJN42M|96,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,264,,
132,254,254_multi_mixed.jpg,multi_mixed,ASP-A05-B02-P03-R,BAD0014,ASP-A05-B02-P03-R|BAD0014,,,ASP-A05-B02-P03-R,,,,DETECTION_EXACT_MATCH,FALSE_NEGATIVE,MIXED_KEEP_VALID_REJECT_FALSE,,323,,missing=1
133,138,138_item.jpg,item,ASI-V3AVUP|30,,ASI-V3AVUP|30,ASI-V3AVUP|30,,,,ASI-V3AVUP|30,ASI-V3AVUP|30,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,377,,
134,36,036_position.jpg,position,ASP-A02-B01-P03-R,,ASP-A02-B01-P03-R,ASP-A02-B01-P03-R,,ASP-A02-B01-P03-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,308,,
135,139,139_item.jpg,item,ASI-W766P8|6,,ASI-W766P8|6,ASI-W766P8|6,,,,ASI-W766P8|6,ASI-W766P8|6,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,376,,
136,284,284_multi_false.jpg,multi_false,,X0057|BAD0058,X0057|BAD0058,,,,,,,DETECTION_EXACT_MATCH,CORRECT_REJECTION,CORRECT_REJECTION,,349,,
137,37,037_position.jpg,position,ASP-A02-B02-P01-L,,ASP-A02-B02-P01-L,ASP-A02-B02-P01-L,,ASP-A02-B02-P01-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,253,,
138,140,140_item.jpg,item,ASI-FUXFRV|10,,ASI-FUXFRV|10,ASI-FUXFRV|10,,,,ASI-FUXFRV|10,ASI-FUXFRV|10,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,409,,
139,224,224_multi_true.jpg,multi_true,ASP-A04-B01-P02-R|ASI-9HGRJ2|36,,ASP-A04-B01-P02-R|ASI-9HGRJ2|36,ASI-9HGRJ2|36,,ASP-A04-B01-P02-R,,ASI-9HGRJ2|36,ASI-9HGRJ2|36,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,347,,
140,141,141_item.jpg,item,ASI-NKBCR8|96,,ASI-NKBCR8|96,ASI-NKBCR8|96,,,,ASI-NKBCR8|96,ASI-NKBCR8|96,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,216,,
141,38,038_position.jpg,position,ASP-A02-B02-P01-R,,ASP-A02-B02-P01-R,ASP-A02-B02-P01-R,,ASP-A02-B02-P01-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,263,,
142,142,142_item.jpg,item,ASI-E74N29|24,,ASI-E74N29|24,ASI-E74N29|24,,,,ASI-E74N29|24,ASI-E74N29|24,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,241,,
143,255,255_multi_mixed.jpg,multi_mixed,ASI-LZVWFD|5,POSX0015,ASI-LZVWFD|5|POSX0015,ASI-LZVWFD|5,,,,ASI-LZVWFD|5,ASI-LZVWFD|5,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,MIXED_KEEP_VALID_REJECT_FALSE,,463,,
144,39,039_position.jpg,position,ASP-A02-B02-P02-L,,ASP-A02-B02-P02-L,ASP-A02-B02-P02-L,,ASP-A02-B02-P02-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,249,,
145,143,143_item.jpg,item,ASI-RKAG5Q|6,,ASI-RKAG5Q|6,ASI-RKAG5Q|6,,,,ASI-RKAG5Q|6,ASI-RKAG5Q|6,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,264,,
146,285,285_multi_false.jpg,multi_false,,POSX0059|FAKE0060,FAKE0060|POSX0059,,,,,,,DETECTION_EXACT_MATCH,CORRECT_REJECTION,CORRECT_REJECTION,,525,,
147,144,144_item.jpg,item,ASI-7DRH7J|36,,ASI-7DRH7J|36,ASI-7DRH7J|36,,,,ASI-7DRH7J|36,ASI-7DRH7J|36,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,295,,
148,40,040_position.jpg,position,ASP-A02-B02-P02-R,,ASP-A02-B02-P02-R,ASP-A02-B02-P02-R,,ASP-A02-B02-P02-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,288,,
149,145,145_item.jpg,item,ASI-W656L8|36,,ASI-W656L8|36,ASI-W656L8|36,,,,ASI-W656L8|36,ASI-W656L8|36,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,281,,
150,225,225_multi_true.jpg,multi_true,ASP-A04-B01-P03-L|ASI-Z4K4G9|96,,ASP-A04-B01-P03-L|ASI-Z4K4G9|96,ASI-Z4K4G9|96,,ASP-A04-B01-P03-L,,ASI-Z4K4G9|96,ASI-Z4K4G9|96,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,341,,
151,146,146_item.jpg,item,ASI-SRT9RT|36,,ASI-SRT9RT|36,ASI-SRT9RT|36,,,,ASI-SRT9RT|36,ASI-SRT9RT|36,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,571,,
152,256,256_multi_mixed.jpg,multi_mixed,ASP-A05-B03-P01-L|ASI-LDFT65|40,FAKE0016,FAKE0016|ASP-A05-B03-P01-L|ASI-LDFT65|40,ASI-LDFT65|40,,ASP-A05-B03-P01-L,,ASI-LDFT65|40,ASI-LDFT65|40,DETECTION_EXACT_MATCH,AMBIGUOUS_INCORRECT,AMBIGUOUS,,577,,status=RESOLVED;error=null
153,41,041_position.jpg,position,ASP-A02-B02-P03-L,,ASP-A02-B02-P03-L,ASP-A02-B02-P03-L,,ASP-A02-B02-P03-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,282,,
154,147,147_item.jpg,item,ASI-EURTXW|60,,ASI-EURTXW|60,ASI-EURTXW|60,,,,ASI-EURTXW|60,ASI-EURTXW|60,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,289,,
155,286,286_multi_false.jpg,multi_false,,X0061|BAD0062|POSX0063,POSX0063|BAD0062|X0061,,,,,,,DETECTION_EXACT_MATCH,CORRECT_REJECTION,CORRECT_REJECTION,,703,,
156,42,042_position.jpg,position,ASP-A02-B02-P03-R,,ASP-A02-B02-P03-R,ASP-A02-B02-P03-R,,ASP-A02-B02-P03-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,276,,
157,148,148_item.jpg,item,ASI-FJKQ2K|8,,ASI-FJKQ2K|8,ASI-FJKQ2K|8,,,,ASI-FJKQ2K|8,ASI-FJKQ2K|8,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,248,,
158,149,149_item.jpg,item,ASI-E44X74|2,,ASI-E44X74|2,ASI-E44X74|2,,,,ASI-E44X74|2,ASI-E44X74|2,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,431,,
159,226,226_multi_true.jpg,multi_true,ASP-A04-B01-P03-R|ASI-4TCZP6|36|ASP-A04-B02-P01-L,,ASP-A04-B02-P01-L|ASP-A04-B01-P03-R|ASI-4TCZP6|36,ASI-4TCZP6|36,,ASP-A04-B01-P03-R,,ASI-4TCZP6|36,ASI-4TCZP6|36,DETECTION_EXACT_MATCH,AMBIGUOUS_INCORRECT,AMBIGUOUS,,432,,status=RESOLVED;error=null
160,43,043_position.jpg,position,ASP-A02-B03-P01-L,,ASP-A02-B03-P01-L,ASP-A02-B03-P01-L,,ASP-A02-B03-P01-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,320,,
161,150,150_item.jpg,item,ASI-P42B28|1,,ASI-P42B28|1,ASI-P42B28|1,,,,ASI-P42B28|1,ASI-P42B28|1,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,240,,
162,257,257_multi_mixed.jpg,multi_mixed,ASI-64TPHY|30|ASI-HU9VCQ|24,X0017,X0017|ASI-64TPHY|30|ASI-HU9VCQ|24,ASI-64TPHY|30,,,,ASI-64TPHY|30;ASI-HU9VCQ|24,ASI-64TPHY|30,DETECTION_EXACT_MATCH,AMBIGUOUS_INCORRECT,AMBIGUOUS,,451,,status=RESOLVED;error=null
163,151,151_item.jpg,item,ASI-YV24Q9|10,,ASI-YV24Q9|10,ASI-YV24Q9|10,,,,ASI-YV24Q9|10,ASI-YV24Q9|10,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,312,,
164,44,044_position.jpg,position,ASP-A02-B03-P01-R,,ASP-A02-B03-P01-R,ASP-A02-B03-P01-R,,ASP-A02-B03-P01-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,317,,
165,152,152_item.jpg,item,ASI-T59B2X|24,,ASI-T59B2X|24,ASI-T59B2X|24,,,,ASI-T59B2X|24,ASI-T59B2X|24,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,241,,
166,287,287_multi_false.jpg,multi_false,,FAKE0064|X0065|BAD0066,BAD0066|FAKE0064|X0065,,,,,,,DETECTION_EXACT_MATCH,CORRECT_REJECTION,CORRECT_REJECTION,,554,,
167,45,045_position.jpg,position,ASP-A02-B03-P02-L,,ASP-A02-B03-P02-L,ASP-A02-B03-P02-L,,ASP-A02-B03-P02-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,270,,
168,153,153_item.jpg,item,ASI-L7JB3B|3,,ASI-L7JB3B|3,ASI-L7JB3B|3,,,,ASI-L7JB3B|3,ASI-L7JB3B|3,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,415,,
169,227,227_multi_true.jpg,multi_true,ASP-A04-B02-P01-R|ASI-RZGZYD|24|ASP-A04-B02-P02-L,,ASP-A04-B02-P02-L|ASP-A04-B02-P01-R|ASI-RZGZYD|24,ASI-RZGZYD|24,,ASP-A04-B02-P01-R,,ASI-RZGZYD|24,ASI-RZGZYD|24,DETECTION_EXACT_MATCH,AMBIGUOUS_INCORRECT,AMBIGUOUS,,450,,status=RESOLVED;error=null
170,154,154_item.jpg,item,ASI-5J7MDS|24,,ASI-5J7MDS|24,ASI-5J7MDS|24,,,,ASI-5J7MDS|24,ASI-5J7MDS|24,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,266,,
171,46,046_position.jpg,position,ASP-A02-B03-P02-R,,ASP-A02-B03-P02-R,ASP-A02-B03-P02-R,,ASP-A02-B03-P02-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,341,,
172,155,155_item.jpg,item,ASI-WP7WX2|12,,ASI-WP7WX2|12,ASI-WP7WX2|12,,,,ASI-WP7WX2|12,ASI-WP7WX2|12,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,226,,
173,258,258_multi_mixed.jpg,multi_mixed,ASP-A05-B03-P01-R|ASI-DAPVPJ|12,BAD0018,BAD0018|ASI-DAPVPJ|12|ASP-A05-B03-P01-R,ASI-DAPVPJ|12,,ASP-A05-B03-P01-R,,ASI-DAPVPJ|12,ASI-DAPVPJ|12,DETECTION_EXACT_MATCH,AMBIGUOUS_INCORRECT,AMBIGUOUS,,478,,status=RESOLVED;error=null
174,47,047_position.jpg,position,ASP-A02-B03-P03-L,,ASP-A02-B03-P03-L,ASP-A02-B03-P03-L,,ASP-A02-B03-P03-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,345,,
175,156,156_item.jpg,item,ASI-4SF8BD|20,,ASI-4SF8BD|20,ASI-4SF8BD|20,,,,ASI-4SF8BD|20,ASI-4SF8BD|20,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,221,,
176,288,288_multi_false.jpg,multi_false,,POSX0067|FAKE0068|X0069,X0069|POSX0067|FAKE0068,,,,,,,DETECTION_EXACT_MATCH,CORRECT_REJECTION,CORRECT_REJECTION,,490,,
177,157,157_item.jpg,item,ASI-QECBRN|1,,ASI-QECBRN|1,ASI-QECBRN|1,,,,ASI-QECBRN|1,ASI-QECBRN|1,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,446,,
178,48,048_position.jpg,position,ASP-A02-B03-P03-R,,ASP-A02-B03-P03-R,ASP-A02-B03-P03-R,,ASP-A02-B03-P03-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,236,,
179,158,158_item.jpg,item,ASI-KRJ8HP|36,,ASI-KRJ8HP|36,ASI-KRJ8HP|36,,,,ASI-KRJ8HP|36,ASI-KRJ8HP|36,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,256,,
180,228,228_multi_true.jpg,multi_true,ASP-A04-B02-P02-R|ASI-TNH7FP|96|ASP-A04-B02-P03-L,,ASP-A04-B02-P03-L|ASP-A04-B02-P02-R|ASI-TNH7FP|96,ASI-TNH7FP|96,,ASP-A04-B02-P02-R,,ASI-TNH7FP|96,ASI-TNH7FP|96,DETECTION_EXACT_MATCH,AMBIGUOUS_INCORRECT,AMBIGUOUS,,570,,status=RESOLVED;error=null
181,159,159_item.jpg,item,ASI-SZLHLV|4,,ASI-SZLHLV|4,ASI-SZLHLV|4,,,,ASI-SZLHLV|4,ASI-SZLHLV|4,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,373,,
182,259,259_multi_mixed.jpg,multi_mixed,ASI-UWHA95|6|ASI-J2QYE3|2,POSX0019,POSX0019|ASI-UWHA95|6|ASI-J2QYE3|2,ASI-UWHA95|6,,,,ASI-UWHA95|6;ASI-J2QYE3|2,ASI-UWHA95|6,DETECTION_EXACT_MATCH,AMBIGUOUS_INCORRECT,AMBIGUOUS,,449,,status=RESOLVED;error=null
183,49,049_position.jpg,position,ASP-A02-B04-P01-L,,ASP-A02-B04-P01-L,ASP-A02-B04-P01-L,,ASP-A02-B04-P01-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,295,,
184,160,160_item.jpg,item,ASI-BV23NE|72,,ASI-BV23NE|72,ASI-BV23NE|72,,,,ASI-BV23NE|72,ASI-BV23NE|72,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,414,,
185,289,289_multi_false.jpg,multi_false,,BAD0070|POSX0071|FAKE0072,FAKE0072|BAD0070|POSX0071,,,,,,,DETECTION_EXACT_MATCH,CORRECT_REJECTION,CORRECT_REJECTION,,452,,
186,50,050_position.jpg,position,ASP-A02-B04-P01-R,,ASP-A02-B04-P01-R,ASP-A02-B04-P01-R,,ASP-A02-B04-P01-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,352,,
187,161,161_item.jpg,item,ASI-RGVHCY|60,,ASI-RGVHCY|60,ASI-RGVHCY|60,,,,ASI-RGVHCY|60,ASI-RGVHCY|60,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,277,,
188,162,162_item.jpg,item,ASI-5ZEXA4|40,,ASI-5ZEXA4|40,ASI-5ZEXA4|40,,,,ASI-5ZEXA4|40,ASI-5ZEXA4|40,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,221,,
189,229,229_multi_true.jpg,multi_true,ASP-A04-B02-P03-R|ASI-BDXRJP|3|ASP-A04-B03-P01-L,,ASP-A04-B03-P01-L|ASP-A04-B02-P03-R|ASI-BDXRJP|3,ASI-BDXRJP|3,,ASP-A04-B02-P03-R,,ASI-BDXRJP|3,ASI-BDXRJP|3,DETECTION_EXACT_MATCH,AMBIGUOUS_INCORRECT,AMBIGUOUS,,592,,status=RESOLVED;error=null
190,51,051_position.jpg,position,ASP-A02-B04-P02-L,,ASP-A02-B04-P02-L,ASP-A02-B04-P02-L,,ASP-A02-B04-P02-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,291,,
191,163,163_item.jpg,item,ASI-G5Z7K5|6,,ASI-G5Z7K5|6,ASI-G5Z7K5|6,,,,ASI-G5Z7K5|6,ASI-G5Z7K5|6,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,287,,
192,260,260_multi_mixed.jpg,multi_mixed,ASP-A05-B03-P02-L|ASI-5B7EW5|72,FAKE0020,FAKE0020|ASP-A05-B03-P02-L|ASI-5B7EW5|72,ASI-5B7EW5|72,,ASP-A05-B03-P02-L,,ASI-5B7EW5|72,ASI-5B7EW5|72,DETECTION_EXACT_MATCH,AMBIGUOUS_INCORRECT,AMBIGUOUS,,549,,status=RESOLVED;error=null
193,164,164_item.jpg,item,ASI-T875TW|10,,ASI-T875TW|10,ASI-T875TW|10,,,,ASI-T875TW|10,ASI-T875TW|10,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,279,,
194,52,052_position.jpg,position,ASP-A02-B04-P02-R,,ASP-A02-B04-P02-R,ASP-A02-B04-P02-R,,ASP-A02-B04-P02-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,354,,
195,165,165_item.jpg,item,ASI-FT6R72|18,,ASI-FT6R72|18,ASI-FT6R72|18,,,,ASI-FT6R72|18,ASI-FT6R72|18,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,275,,
196,290,290_multi_false.jpg,multi_false,,X0073|BAD0074|POSX0075,POSX0075|BAD0074|X0073,,,,,,,DETECTION_EXACT_MATCH,CORRECT_REJECTION,CORRECT_REJECTION,,437,,
197,53,053_position.jpg,position,ASP-A02-B04-P03-L,,ASP-A02-B04-P03-L,ASP-A02-B04-P03-L,,ASP-A02-B04-P03-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,272,,
198,166,166_item.jpg,item,ASI-B9WM9P|20,,ASI-B9WM9P|20,ASI-B9WM9P|20,,,,ASI-B9WM9P|20,ASI-B9WM9P|20,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,280,,
199,230,230_multi_true.jpg,multi_true,ASP-A04-B03-P01-R|ASI-PPQXKA|12|ASP-A04-B03-P02-L,,ASP-A04-B03-P02-L|ASP-A04-B03-P01-R|ASI-PPQXKA|12,ASI-PPQXKA|12,,ASP-A04-B03-P01-R,,ASI-PPQXKA|12,ASI-PPQXKA|12,DETECTION_EXACT_MATCH,AMBIGUOUS_INCORRECT,AMBIGUOUS,,466,,status=RESOLVED;error=null
200,167,167_item.jpg,item,ASI-SXTTAN|3,,ASI-SXTTAN|3,ASI-SXTTAN|3,,,,ASI-SXTTAN|3,ASI-SXTTAN|3,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,414,,
